Table Number,Table Name,Code,Shortened Description
Table 5.25,Other Major Surgery for Sampling ,48.72,CLOSURE OF PROCTOSTOMY
Table 5.25,Other Major Surgery for Sampling ,48.73,CLOSE RECTAL FIST NEC
Table 5.25,Other Major Surgery for Sampling ,48.74,RECTORECTOSTOMY
Table 5.25,Other Major Surgery for Sampling ,48.75,ABDOMINAL PROCTOPEXY
Table 5.25,Other Major Surgery for Sampling ,48.76,PROCTOPEXY NEC
Table 5.25,Other Major Surgery for Sampling ,50.0,HEPATOTOMY
Table 5.25,Other Major Surgery for Sampling ,50.21,MARSUPIALIZAT LIVER LES
Table 5.25,Other Major Surgery for Sampling ,50.22,PARTIAL HEPATECTOMY
Table 5.25,Other Major Surgery for Sampling ,50.29,DESTRUC HEPATIC LES NEC
Table 5.25,Other Major Surgery for Sampling ,50.3,HEPATIC LOBECTOMY
Table 5.25,Other Major Surgery for Sampling ,51.31,GB-TO-HEPAT DUCT ANAST
Table 5.25,Other Major Surgery for Sampling ,51.32,GB-TO-INTESTINE ANASTOM
Table 5.25,Other Major Surgery for Sampling ,51.33,GB-TO-PANCREAS ANASTOM
Table 5.25,Other Major Surgery for Sampling ,51.34,GB-TO-STOMACH ANASTOMOS
Table 5.25,Other Major Surgery for Sampling ,51.35,GALLBLADDER ANASTOM NEC
Table 5.25,Other Major Surgery for Sampling ,51.36,CHOLEDOCHOENTEROSTOMY
Table 5.25,Other Major Surgery for Sampling ,51.37,HEPATIC DUCT-GI ANASTOM
Table 5.25,Other Major Surgery for Sampling ,51.39,BILE DUCT ANASTOMOS NEC
Table 5.25,Other Major Surgery for Sampling ,51.41,CDE FOR CALCULUS REMOV
Table 5.25,Other Major Surgery for Sampling ,51.42,CDE FOR OBSTRUCTION NEC
Table 5.25,Other Major Surgery for Sampling ,51.49,INCIS OBSTR BILE DUC NEC
Table 5.25,Other Major Surgery for Sampling ,51.51,COMMON DUCT EXPLORATION
Table 5.25,Other Major Surgery for Sampling ,51.59,BILE DUCT INCISION NEC
Table 5.25,Other Major Surgery for Sampling ,51.61,EXCIS CYST DUCT REMNANT
Table 5.25,Other Major Surgery for Sampling ,51.62,EXCIS AMPULLA OF VATER
Table 5.25,Other Major Surgery for Sampling ,51.63,COMMON DUCT EXCIS NEC
Table 5.25,Other Major Surgery for Sampling ,51.69,BILE DUCT EXCISION NEC
Table 5.25,Other Major Surgery for Sampling ,51.71,SIMPLE SUT-COMMON DUCT
Table 5.25,Other Major Surgery for Sampling ,51.72,CHOLEDOCHOPLASTY
Table 5.25,Other Major Surgery for Sampling ,51.79,BILE DUCT REPAIR NEC
Table 5.25,Other Major Surgery for Sampling ,51.81,SPHINCTER OF ODDI DILAT
Table 5.25,Other Major Surgery for Sampling ,51.82,PANCREAT SPHINCTEROTOM
Table 5.25,Other Major Surgery for Sampling ,51.83,PANCREAT SPHINCTEROPLAS
Table 5.25,Other Major Surgery for Sampling ,51.89,SPHINCT OF ODDI OP NEC
Table 5.25,Other Major Surgery for Sampling ,51.91,REPAIR GB LACERATION
Table 5.25,Other Major Surgery for Sampling ,51.92,CLOSURE CHOLECYSTOSTOMY
Table 5.25,Other Major Surgery for Sampling ,51.93,CLOS BILIARY FISTUL NEC
Table 5.25,Other Major Surgery for Sampling ,51.94,REVIS BILE TRACT ANASTOM
Table 5.25,Other Major Surgery for Sampling ,51.95,REMOVE BILE DUCT PROSTH
Table 5.25,Other Major Surgery for Sampling ,51.99,BILIARY TRACT OP NEC
Table 5.25,Other Major Surgery for Sampling ,52.09,PANCREATOTOMY NEC
Table 5.25,Other Major Surgery for Sampling ,52.22,OTHER DESTRU PANCREA LES
Table 5.25,Other Major Surgery for Sampling ,52.3,PANCREAT CYST MARSUPIALI
Table 5.25,Other Major Surgery for Sampling ,52.4,INT DRAIN PANCREAT CYST
Table 5.25,Other Major Surgery for Sampling ,52.51,PROXIMAL PANCREATECTOMY
Table 5.25,Other Major Surgery for Sampling ,52.52,DISTAL PANCREATECTOMY
Table 5.25,Other Major Surgery for Sampling ,52.53,RAD SUBTOT PANCREATECTOM
Table 5.25,Other Major Surgery for Sampling ,52.59,PARTIAL PANCREATECT NEC
Table 5.25,Other Major Surgery for Sampling ,52.6,TOTAL PANCREATECTOMY
Table 5.25,Other Major Surgery for Sampling ,52.7,RAD PANCREATICODUODENECT
Table 5.25,Other Major Surgery for Sampling ,52.92,CANNULATION PANCREA DUC
Table 5.25,Other Major Surgery for Sampling ,52.95,PANCREATIC REPAIR NEC
Table 5.25,Other Major Surgery for Sampling ,52.96,PANCREATIC ANASTOMOSIS
Table 5.25,Other Major Surgery for Sampling ,52.99,PANCREATIC OPERATION NEC
Table 5.25,Other Major Surgery for Sampling ,53.72,OPN ABD DIAPHRM HERN NEC
Table 5.25,Other Major Surgery for Sampling ,53.75,ABD REP-DIAPHR HERN NOS
Table 5.25,Other Major Surgery for Sampling ,53.80,THOR REP-DIAPH HERN NOS
Table 5.25,Other Major Surgery for Sampling ,53.81,DIAPHRAGMATIC PLICATION
Table 5.25,Other Major Surgery for Sampling ,53.82,PARASTERN HERNIA REPAIR
Table 5.25,Other Major Surgery for Sampling ,53.84,OPN THORC DIAPH HERN NEC
Table 5.25,Other Major Surgery for Sampling ,54.11,EXPLORATORY LAPAROTOMY
Table 5.25,Other Major Surgery for Sampling ,54.12,REOPEN RECENT LAP SITE
Table 5.25,Other Major Surgery for Sampling ,54.19,LAPAROTOMY NEC
Table 5.25,Other Major Surgery for Sampling ,54.59,OTH PERITON ADHESIOLYSIS
Table 5.25,Other Major Surgery for Sampling ,54.61,RECLOSE POST OP DISRUPT
Table 5.25,Other Major Surgery for Sampling ,54.62,DELAYED CLOS ABD WOUND
Table 5.25,Other Major Surgery for Sampling ,54.63,ABD WALL SUTURE NEC
Table 5.25,Other Major Surgery for Sampling ,54.64,PERITONEAL SUTURE
Table 5.25,Other Major Surgery for Sampling ,54.71,REPAIR OF GASTROSCHISIS
Table 5.25,Other Major Surgery for Sampling ,54.72,ABDOMEN WALL REPAIR NEC
Table 5.25,Other Major Surgery for Sampling ,54.73,PERITONEAL REPAIR NEC
Table 5.25,Other Major Surgery for Sampling ,54.74,OMENTAL REPAIR NEC
Table 5.25,Other Major Surgery for Sampling ,54.75,MESENTERIC REPAIR NEC
Table 5.25,Other Major Surgery for Sampling ,54.92,REMOVE FB FROM PERITON
Table 5.25,Other Major Surgery for Sampling ,54.94,CREAT PERITONEOVAS SHUNT
Table 5.25,Other Major Surgery for Sampling ,54.95,PERITONEAL INCISION
Table 5.25,Other Major Surgery for Sampling ,55.4,PARTIAL NEPHRECTOMY
Table 5.25,Other Major Surgery for Sampling ,55.51,NEPHROURETERECTOMY
Table 5.25,Other Major Surgery for Sampling ,55.52,SOLITARY KIDNEY NEPHRECT
Table 5.25,Other Major Surgery for Sampling ,55.53,REJECTED KIDNEY NEPHRECT
Table 5.25,Other Major Surgery for Sampling ,55.54,BILATERAL NEPHRECTOMY
Table 5.25,Other Major Surgery for Sampling ,56.51,FORM CUTAN ILEOURETEROST
Table 5.25,Other Major Surgery for Sampling ,56.52,REVIS CUTAN ILEOURETEROS
Table 5.25,Other Major Surgery for Sampling ,56.71,URIN DIVERSION TO BOWEL
Table 5.25,Other Major Surgery for Sampling ,56.72,REVIS URETEROENTEROSTOMY
Table 5.25,Other Major Surgery for Sampling ,56.73,NEPHROCYSTANASTOMOSI NOS
Table 5.25,Other Major Surgery for Sampling ,56.74,URETERONEOCYSTOSTOMY
Table 5.25,Other Major Surgery for Sampling ,56.75,TRANSURETEROURETEROSTOMY
Table 5.25,Other Major Surgery for Sampling ,56.79,URETERAL ANASTOMOSIS NEC
Table 5.25,Other Major Surgery for Sampling ,57.6,PARTIAL CYSTECTOMY
Table 5.25,Other Major Surgery for Sampling ,57.71,RADICAL CYSTECTOMY
Table 5.25,Other Major Surgery for Sampling ,57.79,TOTAL CYSTECTOMY NEC
Table 5.25,Other Major Surgery for Sampling ,57.81,SUTURE BLADDER LACERAT
Table 5.25,Other Major Surgery for Sampling ,57.82,CYSTOSTOMY CLOSURE
Table 5.25,Other Major Surgery for Sampling ,57.83,ENTEROVESICO FIST REPAIR
Table 5.25,Other Major Surgery for Sampling ,57.84,VESIC FISTULA REPAIR NEC
Table 5.25,Other Major Surgery for Sampling ,57.85,CYSTOURETHROPLASTY
Table 5.25,Other Major Surgery for Sampling ,57.86,BLADDER EXSTROPHY REPAIR
Table 5.25,Other Major Surgery for Sampling ,57.87,BLADDER RECONSTRUCTION
Table 5.25,Other Major Surgery for Sampling ,57.88,BLADDER ANASTOMOSIS NEC
Table 5.25,Other Major Surgery for Sampling ,57.89,BLADDER REPAIR NEC
Table 5.25,Other Major Surgery for Sampling ,59.00,RETROPERIT DISSECT NOS
Table 5.25,Other Major Surgery for Sampling ,59.02,PERIREN ADHESIOLYS NEC
Table 5.25,Other Major Surgery for Sampling ,59.09,PERIREN/URETER INCIS NEC
Table 5.25,Other Major Surgery for Sampling ,60.3,SUPRAPUBIC PROSTATECTOMY
Table 5.25,Other Major Surgery for Sampling ,60.4,RETROPUBIC PROSTATECTOMY
Table 5.25,Other Major Surgery for Sampling ,60.5,RADICAL PROSTATECTOMY
Table 5.25,Other Major Surgery for Sampling ,65.22,OVARIAN WEDGE RESECTION
Table 5.25,Other Major Surgery for Sampling ,65.29,LOCAL DESTR OVA LES NEC
Table 5.25,Other Major Surgery for Sampling ,65.39,OTH UNILAT OOPHORECTOMY
Table 5.25,Other Major Surgery for Sampling ,65.49,OTH UNI SALPINGO-OOPHOR
Table 5.25,Other Major Surgery for Sampling ,65.51,OTH REMOVE BOTH OVARIES
Table 5.25,Other Major Surgery for Sampling ,65.52,OTH REMOVE REMAIN OVARY
Table 5.25,Other Major Surgery for Sampling ,65.61,OTH REMOVE OVARIES/TUBES
Table 5.25,Other Major Surgery for Sampling ,65.62,OTH REMOVE REM OVA/TUBE
Table 5.25,Other Major Surgery for Sampling ,66.4,TOTAL UNILAT SALPINGECT
Table 5.25,Other Major Surgery for Sampling ,66.51,REMOVE BOTH FALLOP TUBES
Table 5.25,Other Major Surgery for Sampling ,66.52,REMOVE SOLITARY FAL TUBE
Table 5.25,Other Major Surgery for Sampling ,66.61,DESTROY FALLOP TUBE LES
Table 5.25,Other Major Surgery for Sampling ,66.62,REMOV TUBE & ECTOP PREG
Table 5.25,Other Major Surgery for Sampling ,66.63,BILAT PART SALPINGEC NOS
Table 5.25,Other Major Surgery for Sampling ,66.69,PARTIAL SALPINGECTOM NEC
Table 5.25,Other Major Surgery for Sampling ,81.40,"REPAIR OF HIP, NEC"
Table 5.25,Other Major Surgery for Sampling ,81.53,REVISE HIP REPLACEMT NOS
Table 5.25,Other Major Surgery for Sampling ,81.55,REVISE KNEE REPLACE NOS
Table 5.26,SCIP- Left Ventricular Assistive Device (LVAD) and Heart Transplant,37.51,HEART TRANSPLANTATION
Table 5.26,SCIP- Left Ventricular Assistive Device (LVAD) and Heart Transplant,37.60,IMP BIVN EXT HRT AST SYS
Table 5.26,SCIP- Left Ventricular Assistive Device (LVAD) and Heart Transplant,37.62,INSRT NON-IMPL CIRC DEV
Table 5.26,SCIP- Left Ventricular Assistive Device (LVAD) and Heart Transplant,37.63,REPAIR HEART ASSIST SYS
Table 5.26,SCIP- Left Ventricular Assistive Device (LVAD) and Heart Transplant,37.66,IMPLANTABLE HRT ASSIST
Table 6.1,Asthma ,493.00,EXTRINSIC ASTHMA NOS
Table 6.1,Asthma ,493.01,EXT ASTHMA W STATUS ASTH
Table 6.1,Asthma ,493.02,EXT ASTHMA W(ACUTE) EXAC
Table 6.1,Asthma ,493.10,INTRINSIC ASTHMA NOS
Table 6.1,Asthma ,493.11,INT ASTHMA W STATUS ASTH
Table 6.1,Asthma ,493.12,INT ASTHMA W (AC) EXAC
Table 6.1,Asthma ,493.81,EXERCSE IND BRONCHOSPASM
Table 6.1,Asthma ,493.82,COUGH VARIANT ASTHMA
Table 6.1,Asthma ,493.90,ASTHMA NOS
Table 6.1,Asthma ,493.91,ASTHMA W STATUS ASTHMAT
Table 6.1,Asthma ,493.92,ASTHMA NOS W (AC) EXAC
Table 7.01,Mental Disorders,290.0,SENILE DEMENTIA UNCOMP
Table 7.01,Mental Disorders,290.10,PRESENILE DEMENTIA
Table 7.01,Mental Disorders,290.11,PRESENILE DELIRIUM
Table 7.01,Mental Disorders,290.12,PRESENILE DELUSION
Table 7.01,Mental Disorders,290.13,PRESENILE DEPRESSION
Table 7.01,Mental Disorders,290.20,SENILE DELUSION
Table 7.01,Mental Disorders,290.21,SENILE DEPRESSIVE
Table 7.01,Mental Disorders,290.3,SENILE DELIRIUM
Table 7.01,Mental Disorders,290.40,"VASCULAR DEMENTIA,UNCOMP"
Table 7.01,Mental Disorders,290.41,VASC DEMENTIA W DELIRIUM
Table 7.01,Mental Disorders,290.42,VASC DEMENTIA W DELUSION
Table 7.01,Mental Disorders,290.43,VASC DEMENTIA W DEPRESSN
Table 7.01,Mental Disorders,290.8,SENILE PSYCHOSIS NEC
Table 7.01,Mental Disorders,290.9,SENILE PSYCHOT COND NOS
Table 7.01,Mental Disorders,291.0,DELIRIUM TREMENS
Table 7.01,Mental Disorders,291.1,ALCOHOL AMNESTIC DISORDR
Table 7.01,Mental Disorders,291.2,ALCOHOL PERSIST DEMENTIA
Table 7.01,Mental Disorders,291.3,ALCOH PSY DIS W HALLUCIN
Table 7.01,Mental Disorders,291.4,PATHOLOGIC ALCOHOL INTOX
Table 7.01,Mental Disorders,291.5,ALCOH PSYCH DIS W DELUS
Table 7.01,Mental Disorders,291.81,ALCOHOL WITHDRAWAL
Table 7.01,Mental Disorders,291.82,ALCOH INDUCE SLEEP DISOR
Table 7.01,Mental Disorders,291.89,ALCOHOL MENTAL DISOR NEC
Table 7.01,Mental Disorders,291.9,ALCOHOL MENTAL DISOR NOS
Table 7.01,Mental Disorders,292.0,DRUG WITHDRAWAL
Table 7.01,Mental Disorders,292.11,DRUG PSYCH DISOR W DELUS
Table 7.01,Mental Disorders,292.12,DRUG PSY DIS W HALLUCIN
Table 7.01,Mental Disorders,292.2,PATHOLOGIC DRUG INTOX
Table 7.01,Mental Disorders,292.81,DRUG-INDUCED DELIRIUM
Table 7.01,Mental Disorders,292.82,DRUG PERSISTING DEMENTIA
Table 7.01,Mental Disorders,292.83,DRUG PERSIST AMNESTC DIS
Table 7.01,Mental Disorders,292.84,DRUG-INDUCED MOOD DISORD
Table 7.01,Mental Disorders,292.85,DRUG INDUCED SLEEP DISOR
Table 7.01,Mental Disorders,292.89,DRUG MENTAL DISORDER NEC
Table 7.01,Mental Disorders,292.9,DRUG MENTAL DISORDER NOS
Table 7.01,Mental Disorders,293.0,DELIRIUM D/T OTHER COND
Table 7.01,Mental Disorders,293.1,SUBACUTE DELIRIUM
Table 7.01,Mental Disorders,293.81,PSY DIS W DELUS OTH DIS
Table 7.01,Mental Disorders,293.82,PSY DIS W HALLUC OTH DIS
Table 7.01,Mental Disorders,293.83,MOOD DISORDER OTHER DIS
Table 7.01,Mental Disorders,293.84,ANXIETY DISORDER OTH DIS
Table 7.01,Mental Disorders,293.89,TRANSIENT MENTAL DIS NEC
Table 7.01,Mental Disorders,293.9,TRANSIENT MENTAL DIS NOS
Table 7.01,Mental Disorders,294.0,AMNESTIC DISORD OTH DIS
Table 7.01,Mental Disorders,294.10,DEMENTIA W/O BEHAV DIST
Table 7.01,Mental Disorders,294.11,DEMENTIA W BEHAVIOR DIST
Table 7.01,Mental Disorders,294.20,DEMEN NOS W/O BEHV DSTRB
Table 7.01,Mental Disorders,294.21,DEMEN NOS W BEHAV DISTRB
Table 7.01,Mental Disorders,294.8,MENTAL DISOR NEC OTH DIS
Table 7.01,Mental Disorders,294.9,MENTAL DISOR NOS OTH DIS
Table 7.01,Mental Disorders,295.00,SIMPL SCHIZOPHREN-UNSPEC
Table 7.01,Mental Disorders,295.01,SIMPL SCHIZOPHREN-SUBCHR
Table 7.01,Mental Disorders,295.02,SIMPLE SCHIZOPHREN-CHR
Table 7.01,Mental Disorders,295.03,SIMP SCHIZ-SUBCHR/EXACER
Table 7.01,Mental Disorders,295.04,SIMPL SCHIZO-CHR/EXACERB
Table 7.01,Mental Disorders,295.05,SIMPL SCHIZOPHREN-REMISS
Table 7.01,Mental Disorders,295.10,HEBEPHRENIA-UNSPEC
Table 7.01,Mental Disorders,295.11,HEBEPHRENIA-SUBCHRONIC
Table 7.01,Mental Disorders,295.12,HEBEPHRENIA-CHRONIC
Table 7.01,Mental Disorders,295.13,HEBEPHREN-SUBCHR/EXACERB
Table 7.01,Mental Disorders,295.14,HEBEPHRENIA-CHR/EXACERB
Table 7.01,Mental Disorders,295.15,HEBEPHRENIA-REMISSION
Table 7.01,Mental Disorders,295.20,CATATONIA-UNSPEC
Table 7.01,Mental Disorders,295.21,CATATONIA-SUBCHRONIC
Table 7.01,Mental Disorders,295.22,CATATONIA-CHRONIC
Table 7.01,Mental Disorders,295.23,CATATONIA-SUBCHR/EXACERB
Table 7.01,Mental Disorders,295.24,CATATONIA-CHR/EXACERB
Table 7.01,Mental Disorders,295.25,CATATONIA-REMISSION
Table 7.01,Mental Disorders,295.30,PARANOID SCHIZO-UNSPEC
Table 7.01,Mental Disorders,295.31,PARANOID SCHIZO-SUBCHR
Table 7.01,Mental Disorders,295.32,PARANOID SCHIZO-CHRONIC
Table 7.01,Mental Disorders,295.33,PARAN SCHIZO-SUBCHR/EXAC
Table 7.01,Mental Disorders,295.34,PARAN SCHIZO-CHR/EXACERB
Table 7.01,Mental Disorders,295.35,PARANOID SCHIZO-REMISS
Table 7.01,Mental Disorders,295.40,SCHIZOPHRENIFORM DIS NOS
Table 7.01,Mental Disorders,295.41,SCHIZOPHRENIC DIS-SUBCHR
Table 7.01,Mental Disorders,295.42,SCHIZOPHREN DIS-CHRONIC
Table 7.01,Mental Disorders,295.43,SCHIZO DIS-SUBCHR/EXACER
Table 7.01,Mental Disorders,295.44,SCHIZOPHR DIS-CHR/EXACER
Table 7.01,Mental Disorders,295.45,SCHIZOPHRENIC DIS-REMISS
Table 7.01,Mental Disorders,295.50,LATENT SCHIZOPHREN-UNSP
Table 7.01,Mental Disorders,295.51,LAT SCHIZOPHREN-SUBCHR
Table 7.01,Mental Disorders,295.52,LATENT SCHIZOPHREN-CHR
Table 7.01,Mental Disorders,295.53,LAT SCHIZO-SUBCHR/EXACER
Table 7.01,Mental Disorders,295.54,LATENT SCHIZO-CHR/EXACER
Table 7.01,Mental Disorders,295.55,LAT SCHIZOPHREN-REMISS
Table 7.01,Mental Disorders,295.60,SCHIZOPHR DIS RESID NOS
Table 7.01,Mental Disorders,295.61,SCHIZOPH DIS RESID-SUBCH
Table 7.01,Mental Disorders,295.62,SCHIZOPHR DIS RESID-CHR
Table 7.01,Mental Disorders,295.63,SCHIZO RESID SUBCHR/EXAC
Table 7.01,Mental Disorders,295.64,SCHIZOPH RESID-CHRO/EXAC
Table 7.01,Mental Disorders,295.65,SCHIZOPH DIS RESID-REMIS
Table 7.01,Mental Disorders,295.70,SCHIZOAFFECTIVE DIS NOS
Table 7.01,Mental Disorders,295.71,SCHIZOAFFECTV DIS-SUBCHR
Table 7.01,Mental Disorders,295.72,SCHIZOAFFECTIVE DIS-CHR
Table 7.01,Mental Disorders,295.73,SCHIZOAFF DIS-SUBCH/EXAC
Table 7.01,Mental Disorders,295.74,SCHIZOAFFTV DIS-CHR/EXAC
Table 7.01,Mental Disorders,295.75,SCHIZOAFFECTVE DIS-REMIS
Table 7.01,Mental Disorders,295.80,SCHIZOPHRENIA NEC-UNSPEC
Table 7.01,Mental Disorders,295.81,SCHIZOPHRENIA NEC-SUBCHR
Table 7.01,Mental Disorders,295.82,SCHIZOPHRENIA NEC-CHR
Table 7.01,Mental Disorders,295.83,SCHIZO NEC-SUBCHR/EXACER
Table 7.01,Mental Disorders,295.84,SCHIZO NEC-CHR/EXACERB
Table 7.01,Mental Disorders,295.85,SCHIZOPHRENIA NEC-REMISS
Table 7.01,Mental Disorders,295.90,SCHIZOPHRENIA NOS-UNSPEC
Table 7.01,Mental Disorders,295.91,SCHIZOPHRENIA NOS-SUBCHR
Table 7.01,Mental Disorders,295.92,SCHIZOPHRENIA NOS-CHR
Table 7.01,Mental Disorders,295.93,SCHIZO NOS-SUBCHR/EXACER
Table 7.01,Mental Disorders,295.94,SCHIZO NOS-CHR/EXACERB
Table 7.01,Mental Disorders,295.95,SCHIZOPHRENIA NOS-REMISS
Table 7.01,Mental Disorders,296.00,BIPOL I SINGLE MANIC NOS
Table 7.01,Mental Disorders,296.01,BIPOL I SINGLE MANC-MILD
Table 7.01,Mental Disorders,296.02,BIPOL I SINGLE MANIC-MOD
Table 7.01,Mental Disorders,296.03,BIPOL I SING-SEV W/O PSY
Table 7.01,Mental Disorders,296.04,BIPO I SIN MAN-SEV W PSY
Table 7.01,Mental Disorders,296.05,BIPOL I SING MAN REM NOS
Table 7.01,Mental Disorders,296.06,BIPOL I SINGLE MANIC REM
Table 7.01,Mental Disorders,296.10,RECUR MANIC DIS-UNSPEC
Table 7.01,Mental Disorders,296.11,RECUR MANIC DIS-MILD
Table 7.01,Mental Disorders,296.12,RECUR MANIC DIS-MOD
Table 7.01,Mental Disorders,296.13,RECUR MANIC DIS-SEVERE
Table 7.01,Mental Disorders,296.14,RECUR MANIC-SEV W PSYCHO
Table 7.01,Mental Disorders,296.15,RECUR MANIC-PART REMISS
Table 7.01,Mental Disorders,296.16,RECUR MANIC-FULL REMISS
Table 7.01,Mental Disorders,296.20,DEPRESS PSYCHOSIS-UNSPEC
Table 7.01,Mental Disorders,296.21,DEPRESS PSYCHOSIS-MILD
Table 7.01,Mental Disorders,296.22,DEPRESSIVE PSYCHOSIS-MOD
Table 7.01,Mental Disorders,296.23,DEPRESS PSYCHOSIS-SEVERE
Table 7.01,Mental Disorders,296.24,DEPR PSYCHOS-SEV W PSYCH
Table 7.01,Mental Disorders,296.25,DEPR PSYCHOS-PART REMISS
Table 7.01,Mental Disorders,296.26,DEPR PSYCHOS-FULL REMISS
Table 7.01,Mental Disorders,296.30,RECURR DEPR PSYCHOS-UNSP
Table 7.01,Mental Disorders,296.31,RECURR DEPR PSYCHOS-MILD
Table 7.01,Mental Disorders,296.32,RECURR DEPR PSYCHOS-MOD
Table 7.01,Mental Disorders,296.33,RECUR DEPR PSYCH-SEVERE
Table 7.01,Mental Disorders,296.34,REC DEPR PSYCH-PSYCHOTIC
Table 7.01,Mental Disorders,296.35,RECUR DEPR PSYC-PART REM
Table 7.01,Mental Disorders,296.36,RECUR DEPR PSYC-FULL REM
Table 7.01,Mental Disorders,296.40,BIPOL I CURRNT MANIC NOS
Table 7.01,Mental Disorders,296.41,BIPOL I CURNT MANIC-MILD
Table 7.01,Mental Disorders,296.42,BIPOL I CURRNT MANIC-MOD
Table 7.01,Mental Disorders,296.43,BIPOL I MANC-SEV W/O PSY
Table 7.01,Mental Disorders,296.44,BIPOL I MANIC-SEV W PSY
Table 7.01,Mental Disorders,296.45,BIPOL I CUR MAN PART REM
Table 7.01,Mental Disorders,296.46,BIPOL I CUR MAN FULL REM
Table 7.01,Mental Disorders,296.50,BIPOL I CUR DEPRES NOS
Table 7.01,Mental Disorders,296.51,BIPOL I CUR DEPRESS-MILD
Table 7.01,Mental Disorders,296.52,BIPOL I CUR DEPRESS-MOD
Table 7.01,Mental Disorders,296.53,BIPOL I CURR DEP W/O PSY
Table 7.01,Mental Disorders,296.54,BIPOL I CURRNT DEP W PSY
Table 7.01,Mental Disorders,296.55,BIPOL I CUR DEP REM NOS
Table 7.01,Mental Disorders,296.56,BIPOL I CURRNT DEP REMIS
Table 7.01,Mental Disorders,296.60,BIPOL I CURRNT MIXED NOS
Table 7.01,Mental Disorders,296.61,BIPOL I CURRNT MIX-MILD
Table 7.01,Mental Disorders,296.62,BIPOL I CURRNT MIXED-MOD
Table 7.01,Mental Disorders,296.63,BIPOL I CUR MIX W/O PSY
Table 7.01,Mental Disorders,296.64,BIPOL I CUR MIXED W PSY
Table 7.01,Mental Disorders,296.65,BIPOL I CUR MIX-PART REM
Table 7.01,Mental Disorders,296.66,BIPOL I CUR MIXED REMISS
Table 7.01,Mental Disorders,296.7,BIPOLOR I CURRENT NOS
Table 7.01,Mental Disorders,296.80,BIPOLAR DISORDER NOS
Table 7.01,Mental Disorders,296.81,ATYPICAL MANIC DISORDER
Table 7.01,Mental Disorders,296.82,ATYPICAL DEPRESSIVE DIS
Table 7.01,Mental Disorders,296.89,BIPOLAR DISORDER NEC
Table 7.01,Mental Disorders,296.90,EPISODIC MOOD DISORD NOS
Table 7.01,Mental Disorders,296.99,EPISODIC MOOD DISORD NEC
Table 7.01,Mental Disorders,297.0,"PARANOID STATE, SIMPLE"
Table 7.01,Mental Disorders,297.1,DELUSIONAL DISORDER
Table 7.01,Mental Disorders,297.2,PARAPHRENIA
Table 7.01,Mental Disorders,297.3,SHARED PSYCHOTIC DISORD
Table 7.01,Mental Disorders,297.8,PARANOID STATES NEC
Table 7.01,Mental Disorders,297.9,PARANOID STATE NOS
Table 7.01,Mental Disorders,298.0,REACT DEPRESS PSYCHOSIS
Table 7.01,Mental Disorders,298.1,EXCITATIV TYPE PSYCHOSIS
Table 7.01,Mental Disorders,298.2,REACTIVE CONFUSION
Table 7.01,Mental Disorders,298.3,ACUTE PARANOID REACTION
Table 7.01,Mental Disorders,298.4,PSYCHOGEN PARANOID PSYCH
Table 7.01,Mental Disorders,298.8,REACT PSYCHOSIS NEC/NOS
Table 7.01,Mental Disorders,298.9,PSYCHOSIS NOS
Table 7.01,Mental Disorders,299.00,AUTISTIC DISORD-CURRENT
Table 7.01,Mental Disorders,299.01,AUTISTIC DISORD-RESIDUAL
Table 7.01,Mental Disorders,299.10,CHILDHD DISINTEGR-ACTIVE
Table 7.01,Mental Disorders,299.11,CHILDHD DISINTEGR-RESID
Table 7.01,Mental Disorders,299.80,PERVASV DEV DIS-CUR NEC
Table 7.01,Mental Disorders,299.81,PERVASV DEV DIS-RES NEC
Table 7.01,Mental Disorders,299.90,PERVASV DEV DIS-CUR NOS
Table 7.01,Mental Disorders,299.91,PERVASV DEV DIS-RES NOS
Table 7.01,Mental Disorders,300.00,ANXIETY STATE NOS
Table 7.01,Mental Disorders,300.01,PANIC DIS W/O AGORPHOBIA
Table 7.01,Mental Disorders,300.02,GENERALIZED ANXIETY DIS
Table 7.01,Mental Disorders,300.09,ANXIETY STATE NEC
Table 7.01,Mental Disorders,300.10,HYSTERIA NOS
Table 7.01,Mental Disorders,300.11,CONVERSION DISORDER
Table 7.01,Mental Disorders,300.12,DISSOCIATIVE AMNESIA
Table 7.01,Mental Disorders,300.13,DISSOCIATIVE FUGUE
Table 7.01,Mental Disorders,300.14,DISSOCIATVE IDENTITY DIS
Table 7.01,Mental Disorders,300.15,DISSOCIATIVE REACT NOS
Table 7.01,Mental Disorders,300.16,FACTITIOUS DIS W SYMPTOM
Table 7.01,Mental Disorders,300.19,FACTITIOUS ILL NEC/NOS
Table 7.01,Mental Disorders,300.20,PHOBIA NOS
Table 7.01,Mental Disorders,300.21,AGORAPHOBIA W PANIC DIS
Table 7.01,Mental Disorders,300.22,AGORAPHOBIA W/O PANIC
Table 7.01,Mental Disorders,300.23,SOCIAL PHOBIA
Table 7.01,Mental Disorders,300.29,ISOLATED/SPEC PHOBIA NEC
Table 7.01,Mental Disorders,300.3,OBSESSIVE-COMPULSIVE DIS
Table 7.01,Mental Disorders,300.4,DYSTHYMIC DISORDER
Table 7.01,Mental Disorders,300.5,NEURASTHENIA
Table 7.01,Mental Disorders,300.6,DEPERSONALIZATION DISORD
Table 7.01,Mental Disorders,300.7,HYPOCHONDRIASIS
